Name,Author,User. Rating,User. Reviews,Info. Year,Info. Genre,Price
The Love Dare,Stephen Kendrick,4.8,1655,2009,Non Fiction,13
The Magnolia Story,Chip Gaines,4.9,7861,2016,Non Fiction,5
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,2012,Fiction,10
The Martian,Andy Weir,4.7,39459,2015,Fiction,9
The Maze Runner (Book 1),James Dashner,4.5,10101,2014,Fiction,8
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,2018,Fiction,8
The Mueller Report,The Washington Post,4.6,2744,2019,Non Fiction,12
The Nightingale: A Novel,Kristin Hannah,4.8,49288,2015,Fiction,11
The Official SAT Study Guide,The College Board,4.4,1201,2010,Non Fiction,40
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,2016,Non Fiction,36
The Paris Wife: A Novel,Paula McLain,4.3,3759,2011,Fiction,16
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,2013,Non Fiction,17
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,2015,Non Fiction,14
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,2012,Non Fiction,21
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,2018,Non Fiction,18
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,2018,Non Fiction,17
The Pout-Pout Fish,Deborah Diesen,4.8,9784,2017,Fiction,5
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,2012,Non Fiction,21
The President Is Missing: A Novel,James Patterson,4.3,10191,2018,Fiction,18
The Racketeer,John Grisham,4.3,14493,2012,Fiction,18
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,2010,Fiction,12
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,2010,Non Fiction,14
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,2012,Fiction,12
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,2009,Fiction,8
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,2010,Fiction,0
The Silent Patient,Alex Michaelides,4.5,27536,2019,Fiction,14
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,2011,Fiction,10
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,2017,Non Fiction,15
The Sun and Her Flowers,Rupi Kaur,4.7,5487,2017,Non Fiction,9
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,2012,Fiction,7
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,2011,Fiction,10
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,2009,Fiction,6
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,2009,Non Fiction,9
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,2019,Non Fiction,10
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,2009,Fiction,82
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,2010,Fiction,12
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,2019,Non Fiction,10
The Very Hungry Caterpillar,Eric Carle,4.9,19546,2013,Fiction,5
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,2015,Non Fiction,16
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,2016,Fiction,10
The Wonky Donkey,Craig Smith,4.8,30183,2018,Fiction,4
The Wright Brothers,David McCullough,4.7,6169,2015,Non Fiction,16
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,2013,Non Fiction,15
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,2011,Non Fiction,19
Thirteen Reasons Why,Jay Asher,4.5,7932,2017,Fiction,9
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,2012,Non Fiction,23
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,2009,Non Fiction,11
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,2014,Non Fiction,23
Tina Fey: Bossypants,Tina Fey,4.3,5977,2011,Non Fiction,12
To Kill a Mockingbird,Harper Lee,4.8,26234,2013,Fiction,0
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,2017,Non Fiction,21
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,2010,Fiction,21
True Compass: A Memoir,Edward M. Kennedy,4.5,438,2009,Non Fiction,15
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,2009,Fiction,9
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,2014,Fiction,5
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,2010,Non Fiction,16
Under the Dome: A Novel,Stephen King,4.3,6740,2009,Fiction,20
Unfreedom of the Press,Mark R. Levin,4.9,5956,2019,Non Fiction,11
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,2019,Non Fiction,4
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,2016,Non Fiction,9
Watchmen,Alan Moore,4.8,3829,2009,Fiction,42
Water for Elephants: A Novel,Sara Gruen,4.5,8958,2011,Fiction,12
What Happened,Hillary Rodham Clinton,4.6,5492,2017,Non Fiction,18
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,2014,Non Fiction,17
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,2015,Fiction,14
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,2019,Fiction,13
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,2011,Non Fiction,9
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,2012,Non Fiction,6
When Breath Becomes Air,Paul Kalanithi,4.8,13779,2016,Non Fiction,14
Where the Crawdads Sing,Delia Owens,4.8,87841,2019,Fiction,15
Where the Wild Things Are,Maurice Sendak,4.8,9967,2009,Fiction,13
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,6669,2018,Non Fiction,12
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,2012,Non Fiction,18
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,2012,Fiction,15
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,2010,Non Fiction,11
Wonder,R. J. Palacio,4.8,21625,2013,Fiction,9
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,2019,Fiction,8
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,2016,Non Fiction,8
